"115","Dustin Hopkins","K","CLE","12","9","12","5","BYE","17","22","8","10","14","7","6","8","9","8","2","-","-","9.9","149"
"117","Jonathan Taylor","RB","IND","-","-","-","-","3.9","9","19.5","10.2","15.4","14","BYE","21.1","-","-","-","10.3","16.9","26.6","14.7","146.9"
"118","Brandin Cooks","WR","DAL","3.2","-","2.7","4.7","1.8","13","BYE","12.7","1.2","27.8","5.7","15.2","14.5","4.7","2","9.3","14.5","13.2","9.1","146.2"
"119","Brandon McManus","K","FA","8","10","5","14","6","17","8","16","-","3","10","14","8","3","1","0","14","9","8.6","146"
"119","Las Vegas Raiders","DST","LV","3","-2","1","4","12","9","4","13","19","8","8","0","BYE","12","25","21","1","8","8.6","146"
"119","Jason Sanders","K","MIA","14","6","10","2","8","6","6","7","2","BYE","11","12","10","9","12","22","7","2","8.6","146"
"122","Romeo Doubs","WR","GB","16.6","4","15.8","14","0.9","BYE","10","9.8","5.1","10.6","13.8","5.2","9.2","5.2","4.5","15.9","4.3","0","8.5","144.9"
"123","Cole Kmet","TE","CHI","6.9","5.8","3.2","24.1","12.7","1.9","0","12.9","20.5","7.1","3.5","7.8","BYE","9.1","10.8","12.7","0","5.6","8.5","144.6"
"124","Pittsburgh Steelers","DST","PIT","4","26","11","-1","18","BYE","5","10","7","8","7","10","2","4","4","13","3","12","8.4","143"
"124","New Orleans Saints","DST","NO","10","7","10","3","24","5","4","4","13","1","BYE","5","0","21","14","0","14","8","8.4","143"
"124","Greg Zuerlein","K","NYJ","11","-","6","4","18","14","BYE","7","8","16","0","1","7","17","0","14","10","10","8.9","143"
"127","Jake Ferguson","TE","DAL","2.1","8.6","7.3","11.2","4.3","2","BYE","12.7","18.6","10.6","4.7","4","16.7","9.7","7.4","6.5","5.3","9.9","8.3","141.6"
"128","Tank Dell","WR","HOU","4.9","16.7","23","3.4","6.8","-","BYE","4.6","26.6","15.9","24.9","14.7","0","-","-","-","-","-","12.9","141.5"
"129","Trey McBride","TE","ARI","3.3","4.2","0.7","1","2.7","8.2","4.4","20.5","3.7","17.1","6.8","9.5","18.9","BYE","15.2","6.1","7.8","10.9","8.3","141"
"129","San Francisco 49ers","DST","SF","13","5","8","2","16","7","2","4","BYE","20","9","14","4","9","12","3","9","4","8.3","141"
"131","Evan McPherson","K","CIN","4","6","19","3","12","7","BYE","9","6","11","10","5","13","10","9","3","5","8","8.2","140"
"132","Drake London","WR","ATL","0","15.7","4.1","10.3","11.7","17","8.4","8","-","5.1","BYE","11.6","1.3","24.2","3.4","5.4","7.6","6.1","8.7","139.9"
"133","Indianapolis Colts","DST","IND","11","9","9","3","4","1","5","-1","26","16","BYE","11","17","7","14","0","3","4","8.2","139"
"134","Gabe Davis","WR","JAC","4.2","18.2","9.8","13.6","19","1.6","1.1","19.2","0","8.6","0","19.5","-","0","0","21","3.1","0","8.2","138.9"
"135","Younghoe Koo","K","ATL","7","13","7","1","7","5","13","12","19","5","BYE","6","8","5","1","19","5","5","8.1","138"
"136","Chase McLaughlin","K","TB","10","9","3","10","BYE","6","7","6","16","8","2","8","3","11","11","14","1","11","8","136"
"137","Cooper Kupp","WR","LAR","-","-","-","-","15.8","24.3","5.9","4.1","5.8","BYE","1.6","3.3","12.9","21.5","21.1","7.9","10.7","-","11.2","134.9"
"138","Kansas City Chiefs","DST","KC","4","10","11","5","6","14","10","10","12","BYE","7","2","2","6","7","6","7","15","7.9","134"
"139","Tyler Bass","K","BUF","13","8","15","14","2","2","5","6","4","2","17","12","BYE","8","7","6","9","3","7.8","133"
"139","Tampa Bay Buccaneers","DST","TB","9","17","5","13","BYE","4","6","4","1","13","4","4","7","7","5","16","1","17","7.8","133"
"139","Chris Boswell","K","PIT","1","12","15","6","11","BYE","8","4","8","13","4","11","4","6","1","12","12","5","7.8","133"
"142","Aidan O'Connell","QB","LV","-","-","-","10.8","-","-","6","-","8.4","9.4","12.1","13.9","BYE","6","25.9","2.1","20.3","17.9","12.1","132.8"
"143","Rashid Shaheed","WR","NO","16.5","8.3","6","4.8","3.8","17.3","5.2","22.8","3.7","4.9","BYE","1.9","-","0","5.1","15.9","2.4","14","8.3","132.6"
"144","Jake Moody","K","SF","14","14","12","5","6","5","7","5","BYE","10","9","7","6","4","10","6","9","2","7.7","131"
"144","New York Giants","DST","NYG","-1","-1","1","3","12","5","14","12","-1","0","23","12","BYE","8","1","10","16","17","7.7","131"
"144","Nick Folk","K","TEN","18","10","4","11","12","10","BYE","4","11","6","2","7","9","8","5","5","5","4","7.7","131"
"144","Houston Texans","DST","HOU","8","-1","13","12","4","10","BYE","7","0","8","8","2","10","5","13","7","21","4","7.7","131"
"148","Matt Prater","K","ARI","12","9","13","4","2","11","5","5","0","18","6","0","8","BYE","14","6","9","8","7.6","130"
"149","Wil Lutz","K","DEN","4","9","8","9","7","0","15","6","BYE","15","17","9","5","6","5","1","11","2","7.6","129"
"150","Tyler Allgeier","RB","ATL","22.9","4.8","3.9","1.7","6","5.1","12.7","3.1","10","4.3","BYE","6.4","2.6","4","5.6","15.3","15.3","4.9","7.6","128.6"
"151","Tyjae Spears","RB","TEN","3.3","6.5","2.9","7.3","14.9","6.8","BYE","5.1","4.2","8","3.6","1.2","10.8","14.8","4.2","9.2","4.9","20.1","7.5","127.8"
"152","Diontae Johnson","WR","CAR","6.3","-","-","-","-","-","10.4","12.5","18.5","2.2","2.6","7","11.3","13.2","14.2","2.5","9.6","16.9","9.8","127.2"
"153","Taysom Hill","TE","NO","0.4","8.2","2.6","2.7","2.5","8.8","14.8","22","18.6","3.3","BYE","7.1","14.4","-","1","0.2","10.5","9.9","7.9","127"
"154","Zach Wilson","QB","DEN","9.2","11.4","6.4","19.2","9.6","10.9","-","12.1","7.2","14.9","7.7","-","-","19.2","-1","-","-","-","10.6","126.9"
"155","Rhamondre Stevenson","RB","NE","11.9","13.5","6.7","5","2.4","15.5","11.5","6","20.9","11.7","BYE","19.2","2.4","-","-","-","-","-","10.6","126.7"
"156","Curtis Samuel","WR","BUF","8.5","4.7","6.4","14.7","15.5","12.2","4.5","4.2","-","1.6","1","14.5","8.5","-","18.6","2.5","4.8","4","7.9","126.2"
"157","Darius Slayton","WR","NYG","3","7.7","4.7","3.3","4.5","8.9","2.7","0.4","7.9","3.6","16.2","2.6","BYE","2.4","8.3","16.5","18.6","14.7","7.4","126"
"158","Anders Carlson","K","GB","10","6","4","8","7","BYE","5","4","8","7","5","6","11","11","8","11","9","5","7.4","125"
"159","Minnesota Vikings","DST","MIN","2","5","2","17","2","21","8","10","4","8","2","11","BYE","20","7","4","1","0","7.3","124"
"160","Josh Downs","WR","IND","4.5","5.7","9.7","4.4","12.7","10.6","21","10.7","1.5","5","BYE","6.8","2.9","4.7","3.4","6.9","6.3","6.3","7.2","123.1"
"161","Christian Kirk","WR","JAC","1.4","16.5","13.4","12.4","11.4","12.4","16","6.6","BYE","11.4","6.3","10.9","3.1","-","-","-","-","-","10.1","121.8"
"162","Dalton Schultz","TE","HOU","1.4","5.4","1.4","11.7","16","14.1","BYE","1.5","22","9.1","10.2","0.7","-","-","7.8","10.1","2.9","6.7","8.1","121"
"162","Daniel Carlson","K","LV","5","5","4","5","5","13","7","2","14","14","8","5","BYE","0","9","6","9","10","7.1","121"
"164","Chicago Bears","DST","CHI","0","2","0","1","10","10","17","1","0","7","9","14","BYE","14","17","3","11","4","7.1","120"
